\\10.23.0.9\Work - Dsystems\ПРОЕКТЫ\Испытания Дагестанский ППУ\Испытания на вибростоле\2023-07-28\SR11\5.EDT
28/07/23,09:29:31
VIN: 000218BF	FSmp: 1500.0
T[sec]	X[м/с2]	Y[м/с2]	
0.000000	9.14771e-05	-0.0507088	
0.000667	-0.0803779	-0.0581794	
0.001333	-0.0390302	-0.0614421	
0.002000	-0.186735	-0.0633631	
0.002667	-0.0544289	-0.0596736	
0.003333	-0.0329318	-0.0547033	
0.004000	0.03592	-0.0500685	
0.004667	-0.0288153	-0.0461959	
0.005333	-0.171672	-0.041927	
0.006000	-0.0634851	-0.0305534	
0.006667	-0.0474766	-0.0195456	
0.007333	0.00612897	-0.0083854	
0.008000	0.023784	0.00167708	
0.008667	-0.0511967	0.0092087	
0.009333	0.0129593	0.0175026	
0.010000	0.0819025	0.023784	
0.010667	0.0420795	0.0284799	
0.011333	-0.138679	0.0312547	
0.012000	-0.00625094	0.0369263	
0.012667	0.116938	0.0411342	
0.013333	0.0656501	0.0423234	
0.014000	0.165299	0.0393656	
0.014667	0.085958	0.0334196	
0.015333	0.0422319	0.0263149	
0.016000	0.0893426	0.0182039	
0.016667	0.110504	0.00804998	
0.017333	-0.00585453	-0.00295776	
0.018000	0.106327	-0.014118	
0.018667	-0.0363774	-0.0268333	
0.019333	-0.08608	-0.0348528	
0.020000	0.0317121	-0.0438175	
0.020667	-0.117579	-0.0494281	
0.021333	-0.0039945	-0.0517151	
0.022000	-0.0146363	-0.0563499	
0.022667	-0.0465923	-0.0569902	
0.023333	0.00411647	-0.055923	
0.024000	-0.18024	-0.0547643	
0.024667	-0.120109	-0.0488183	
0.025333	-0.0643999	-0.0405244	
0.026000	0.061869	-0.0312547	
0.026667	-0.109986	-0.024028	
0.027333	-0.101601	-0.013874	
0.028000	-0.0538495	-0.00234791	
0.028667	-0.0221375	0.00817195	
0.029333	0.00811097	0.0186003	
0.030000	0.0336026	0.0271382	
0.030667	0.155542	0.0332062	
0.031333	0.120872	0.0343039	
0.032000	0.144442	0.0328098	
0.032667	-0.112334	0.0285713	
0.033333	-0.0901049	0.0297301	
0.034000	-0.189876	0.0302789	
0.034667	-0.138405	0.0363774	
0.035333	0.14615	0.0421405	
0.036000	0.169385	0.0402194	
0.036667	0.194236	0.0347003	
0.037333	0.336666	0.0230217	
0.038000	0.237444	0.006007	
0.038667	0.150602	-0.0142399	
0.039333	0.0087818	-0.033755	
0.040000	0.0295471	-0.0530567	
0.040667	-0.0238145	-0.0707728	
0.041333	-0.188992	-0.0838235	
0.042000	-0.321664	-0.0900744	
0.042667	-0.350327	-0.0864459	
0.043333	-0.18829	-0.0761699	
0.044000	-0.156822	-0.0634546	
0.044667	-0.0637595	-0.0475376	
0.045333	-0.138557	-0.0330842	
0.046000	-0.0885193	-0.0146363	
0.046667	0.07184	0.00314071	
0.047333	0.0925138	0.0166793	
0.048000	0.21802	0.0272907	
0.048667	0.124439	0.0303094	
0.049333	0.185912	0.030035	
0.050000	0.116694	0.0268638	
0.050667	-0.144961	0.0223204	
0.051333	-0.0646743	0.0220155	
0.052000	0.0535141	0.0220765	
0.052667	0.00207348	0.0204909	
0.053333	0.022107	0.0187223	
0.054000	0.0726938	0.0149413	
0.054667	0.0650097	0.00896476	
0.055333	0.0257661	0.00341514	
0.056000	0.0715961	-0.00219545	
0.056667	0.0455251	-0.0109163	
0.057333	0.0531787	-0.0199115	
0.058000	-0.0386338	-0.0290592	
0.058667	-0.156273	-0.0345783	
0.059333	0.101875	-0.0364079	
0.060000	0.0403109	-0.040006	
0.060667	-0.0379325	-0.0442139	
0.061333	0.0989477	-0.0473546	
0.062000	-0.0167403	-0.0518065	
0.062667	-0.0550997	-0.0550997	
0.063333	0.0294251	-0.0556486	
0.064000	-0.142521	-0.0562279	
0.064667	-0.00317121	-0.0529957	
0.065333	-0.0173197	-0.0497026	
0.066000	-0.153925	-0.0452202	
0.066667	-0.229181	-0.0361335	
0.067333	-0.324805	-0.0210397	
0.068000	-0.0361639	-0.000243939	
0.068667	-0.0685468	0.0169538	
0.069333	0.00481779	0.0324134	
0.070000	0.206586	0.0469887	
0.070667	0.139625	0.0528433	
0.071333	0.0847078	0.0566853	
0.072000	0.141088	0.0571427	
0.072667	0.0482999	0.0536361	
0.073333	-0.00170757	0.0494891	
0.074000	0.219057	0.0436956	
0.074667	0.206006	0.0328403	
0.075333	-0.0430552	0.0178075	
0.076000	-0.0744319	0.00826343	
0.076667	0.0330232	-0.000609847	
0.077333	0.0587283	-0.012136	
0.078000	0.0598565	-0.0228998	
0.078667	-0.0583014	-0.0335416	
0.079333	-0.0342429	-0.0424454	
0.080000	-0.139594	-0.0482999	
0.080667	-0.0462264	-0.0512272	
0.081333	-0.100564	-0.051959	
0.082000	-0.0177161	-0.0503124	
0.082667	-0.0382069	-0.0482999	
0.083333	-0.101631	-0.0450677	
0.084000	0.0700715	-0.0412257	
0.084667	-0.00573257	-0.0373532	
0.085333	0.00402499	-0.0328403	
0.086000	-0.0943739	-0.0295471	
0.086667	-0.0759565	-0.021985	
0.087333	-0.0629058	-0.014057	
0.088000	-0.0287543	-0.00603749	
0.088667	-0.175545	0.00256136	
0.089333	-0.0316206	0.0147888	
0.090000	0.0333282	0.0257965	
0.090667	-0.0454031	0.033877	
0.091333	0.0821769	0.0416831	
0.092000	0.103552	0.0455861	
0.092667	0.0939775	0.0454336	
0.093333	0.075743	0.0425978	
0.094000	0.0403109	0.0403414	
0.094667	0.238359	0.0352492	
0.095333	0.137429	0.0236011	
0.096000	0.186186	0.0101845	
0.096667	0.0517455	-0.00521419	
0.097333	-0.106571	-0.0210702	
0.098000	0.0663819	-0.033755	
0.098667	-0.0737305	-0.0440615	
0.099333	-0.0569597	-0.0526603	
0.100000	-0.0489098	-0.0590027	
0.100667	-0.0320475	-0.0624179	
0.101333	-0.117579	-0.0655281	
0.102000	-0.0451897	-0.0653756	
0.102667	-0.121055	-0.0624179	
0.103333	-0.10654	-0.0561669	
0.104000	0.0807743	-0.0497331	
0.104667	-0.0497026	-0.0435736	
0.105333	-0.0629058	-0.0363774	
0.106000	-0.0549472	-0.0288763	
0.106667	0.0416831	-0.020003	
0.107333	0.0307668	-0.0133557	
0.108000	-0.0627838	-0.00591552	
0.108667	0.0325049	0.00243939	
0.109333	0.0914466	0.00673881	
0.110000	0.032017	0.0101235	
0.110667	0.0699495	0.0125933	
0.111333	0.0164049	0.0124409	
0.112000	-0.0139045	0.0126848	
0.112667	-0.0391522	0.0129593	
0.113333	-0.0862629	0.0148498	
0.114000	0.00634241	0.0171977	
0.114667	0.010093	0.0190272	
0.115333	0.105107	0.0184174	
0.116000	0.195548	0.0141485	
0.116667	0.0894036	0.00737915	
0.117333	0.0576611	-0.000609847	
0.118000	0.058027	-0.00954411	
0.118667	-0.0511052	-0.0196066	
0.119333	-0.100869	-0.0254916	
0.120000	-0.0335721	-0.0284494	
0.120667	-0.0771457	-0.0311022	
0.121333	-0.0906843	-0.0317426	
0.122000	-0.0123189	-0.0294251	
0.122667	-0.0725413	-0.027992	
0.123333	0.00219545	-0.0252477	
0.124000	-0.0467143	-0.0221984	
0.124667	0.0039945	-0.0177161	
0.125333	0.0734256	-0.0144534	
0.126000	-0.146211	-0.0132337	
0.126667	-0.0934286	-0.00786703	
0.127333	-0.0815061	-0.00115871	
0.128000	-0.0311327	0.00692177	
0.128667	-0.0196981	0.0145144	
0.129333	0.052081	0.0214361	
0.130000	0.0157036	0.0257661	
0.130667	-0.050038	0.0275956	
0.131333	0.164293	0.0314681	
0.132000	0.111023	0.0300045	
0.132667	0.0268333	0.0254916	
0.133333	-0.0113737	0.0205214	
0.134000	-0.102271	0.0177466	
0.134667	0.0851957	0.0158865	
0.135333	-0.151181	0.0119835	
0.136000	-0.0335416	0.0125629	
0.136667	-0.0689737	0.0106723	
0.137333	0.0311022	0.0116176	
0.138000	0.268882	0.00945263	
0.138667	0.238572	6.09847e-05	
0.139333	0.239792	-0.0125629	
0.140000	0.132581	-0.0300045	
0.140667	0.0276871	-0.0485438	
0.141333	-0.165177	-0.0615946	
0.142000	-0.164903	-0.0698275	
0.142667	-0.0815671	-0.0741269	
0.143333	-0.173075	-0.0747978	
0.144000	-0.233511	-0.0696446	
0.144667	-0.109224	-0.0604664	
0.145333	-0.281109	-0.0488488	
0.146000	-0.0590332	-0.0314986	
0.146667	0.0428723	-0.0165574	
0.147333	-0.00521419	-0.00283579	
0.148000	0.204085	0.00768408	
0.148667	0.0732427	0.0133252	
0.149333	0.0162219	0.018143	
0.150000	0.220856	0.0208568	
0.150667	0.194023	0.0180515	
0.151333	0.0979415	0.0112517	
0.152000	0.0472022	0.00448238	
0.152667	0.0805608	-0.00246988	
0.153333	-0.120597	-0.0104284	
0.154000	-0.240097	-0.0132032	
0.154667	-0.0303094	-0.0116481	
0.155333	0.00417745	-0.010154	
0.156000	0.00487878	-0.00939165	
0.156667	-0.0239975	-0.00923919	
0.157333	0.0963864	-0.00847688	
0.158000	0.157066	-0.0105809	
0.158667	0.141942	-0.0163134	
0.159333	0.11023	-0.0245159	
0.160000	0.083732	-0.033938	
0.160667	0.0710167	-0.04397	
0.161333	-0.0593991	-0.051898	
0.162000	-0.0789142	-0.0580575	
0.162667	-0.161549	-0.0607713	
0.163333	-0.169385	-0.0586063	
0.164000	-0.13194	-0.0527213	
0.164667	-0.154169	-0.0436041	
0.165333	-0.11148	-0.0321085	
0.166000	-0.0283274	-0.0189967	
0.166667	0.00463484	-0.00631192	
0.167333	0.0103369	0.00432992	
0.168000	0.07989	0.0123189	
0.168667	-0.0972402	0.0196066	
0.169333	0.000731817	0.0284799	
0.170000	0.131331	0.0360725	
0.170667	0.0206738	0.0382069	
0.171333	-0.00539715	0.0409512	
0.172000	0.10776	0.041744	
0.172667	0.0566853	0.0385728	
0.173333	-0.00884279	0.0351577	
0.174000	0.0403719	0.0313157	
0.174667	0.00387253	0.0270772	
0.175333	0.053941	0.0223204	
0.176000	-0.091965	0.0155511	
0.176667	-0.109925	0.0127153	
0.177333	0.0537276	0.0101235	
0.178000	0.0321694	0.00801949	
0.178667	0.140539	0.00259185	
0.179333	0.126726	-0.00704374	
0.180000	0.0642169	-0.0169842	
0.180667	-0.0095746	-0.0271992	
0.181333	-0.0284494	-0.0362249	
0.182000	-0.0341819	-0.0437261	
0.182667	-0.0874216	-0.0475071	
0.183333	-0.10715	-0.0503429	
0.184000	-0.0742184	-0.0490622	
0.184667	-0.132428	-0.0465314	
0.185333	-0.224302	-0.0400365	
0.186000	-0.113919	-0.0277785	
0.186667	-0.0739745	-0.0151547	
0.187333	-0.0446103	-0.00311022	
0.188000	0.0115871	0.00859885	
0.188667	-0.023906	0.0193627	
0.189333	0.250739	0.0276871	
0.190000	0.16225	0.0299435	
0.190667	0.0425369	0.0285104	
0.191333	-0.00466533	0.025827	
0.192000	-0.112517	0.0253087	
0.192667	0.234364	0.0244854	
0.193333	0.166366	0.0175941	
0.194000	-0.119561	0.00823294	
0.194667	-0.0448238	0.00393352	
0.195333	-0.0833661	0.00100625	
0.196000	0.246958	-0.00274431	
0.196667	0.181094	-0.011953	
0.197333	0.00716571	-0.0244854	
0.198000	0.129288	-0.0346698	
0.198667	0.065955	-0.0459825	
0.199333	0.00311022	-0.0570207	
0.200000	-0.157889	-0.0661075	
0.200667	-0.0693396	-0.0693701	
0.201333	-0.0847993	-0.0705593	
0.202000	-0.0345174	-0.0701934	
0.202667	-0.0694921	-0.0679065	
0.203333	-0.0267113	-0.0628753	
0.204000	-0.0276566	-0.057905	
0.204667	-0.0591857	-0.0515931	
0.205333	-0.135478	-0.0437261	
0.206000	-0.113401	-0.0317121	
0.206667	0.0644914	-0.0184174	
0.207333	-0.0795851	-0.00817195	
0.208000	0.172038	0.00259185	
0.208667	-0.0335721	0.0083854	
0.209333	-0.156121	0.0164659	
0.210000	0.0753466	0.0254916	
0.210667	0.0884888	0.0318035	
0.211333	0.0955021	0.0358285	
0.212000	0.0562279	0.0352797	
0.212667	0.153438	0.0341819	
0.213333	-0.0436041	0.0291202	
0.214000	-0.0895256	0.025949	
0.214667	-0.0480865	0.0247293	
0.215333	0.0235706	0.024089	
0.216000	0.114499	0.0222289	
0.216667	0.0921479	0.0170452	
0.217333	0.158072	0.00872082	
0.218000	-0.045769	-0.00164659	
0.218667	0.0536361	-0.00966608	
0.219333	0.051898	-0.0193931	
0.220000	-0.0770542	-0.027992	
0.220667	-0.0873911	-0.0329927	
0.221333	-0.0754381	-0.0354321	
0.222000	0.0212227	-0.037963	
0.222667	-0.199054	-0.0389692	
0.223333	-0.135752	-0.0350967	
0.224000	-0.14615	-0.0277176	
0.224667	0.0154901	-0.0193627	
0.225333	-0.121543	-0.0107638	
0.226000	-0.016039	-0.000792802	
0.226667	0.0775421	0.00747063	
0.227333	-0.0455861	0.013874	
0.228000	0.00311022	0.0190882	
0.228667	-0.0509223	0.0262539	
0.229333	0.116969	0.0321085	
0.230000	0.00622044	0.0342734	
0.230667	0.0257965	0.0342124	
0.231333	0.0307668	0.0352187	
0.232000	0.0787008	0.0353102	
0.232667	0.0390302	0.0304009	
0.233333	0.0880924	0.0262539	
0.234000	0.0268638	0.0189663	
0.234667	0.127733	0.0113127	
0.235333	0.155115	0.00149413	
0.236000	-0.0560755	-0.0115261	
0.236667	-0.0455861	-0.0204604	
0.237333	-0.0413172	-0.0275346	
0.238000	-0.0400365	-0.0335111	
0.238667	-0.0808048	-0.0377496	
0.239333	-0.0468058	-0.0399755	
0.240000	0.0187223	-0.0407378	
0.240667	0.054002	-0.0410732	
0.241333	-0.0179905	-0.0433906	
0.242000	0.0273517	-0.0443969	
0.242667	0.0195761	-0.0448238	
0.243333	-0.0263759	-0.0451897	
0.244000	-0.0205214	-0.0430857	
0.244667	0.0410732	-0.0411342	
0.245333	0.0819635	-0.0408903	
0.246000	-0.0482084	-0.0413476	
0.246667	-0.0583624	-0.038024	
0.247333	-0.221039	-0.0328708	
0.248000	-0.169202	-0.0221984	
0.248667	-0.0402194	-0.0102759	
0.249333	-0.0617165	0.000762309	
0.250000	0.0162524	0.0127458	
0.250667	-0.0234181	0.0222594	
0.251333	0.00768408	0.0318645	
0.252000	0.0802254	0.0394571	
0.252667	-0.00820245	0.043848	
0.253333	0.0693092	0.048117	
0.254000	0.206738	0.0507088	
0.254667	0.223296	0.0452812	
0.255333	0.210001	0.0344564	
0.256000	0.22418	0.0205214	
0.256667	0.0736391	0.00292727	
0.257333	-0.0423844	-0.0126238	
0.258000	-0.148315	-0.025888	
0.258667	-0.14057	-0.0342429	
0.259333	-0.0376276	-0.0393352	
0.260000	-0.148132	-0.0428418	
0.260667	-0.0810182	-0.041988	
0.261333	-0.0230217	-0.0413172	
0.262000	-0.0464704	-0.0390912	
0.262667	-0.060009	-0.0345479	
0.263333	0.0051837	-0.0301265	
0.264000	-0.0337246	-0.0256746	
0.264667	-0.0316816	-0.020003	
0.265333	0.0415611	-0.0154596	
0.266000	-0.0986733	-0.011953	
0.266667	-0.0527823	-0.00646438	
0.267333	0.00603749	0.000731817	
0.268000	-0.00774506	0.00762309	
0.268667	-0.0401889	0.0139655	
0.269333	-0.101113	0.0205214	
0.270000	0.123738	0.0257661	
0.270667	0.0641254	0.0286323	
0.271333	0.0126238	0.030096	
0.272000	-0.159109	0.0311632	
0.272667	0.0484524	0.0354016	
0.273333	0.240493	0.0351577	
0.274000	0.178045	0.0293946	
0.274667	0.000731817	0.0205519	
0.275333	-0.107608	0.0118005	
0.276000	0.102393	0.00686078	
0.276667	-0.00841589	-0.000396401	
0.277333	0.0691567	-0.00811097	
0.278000	0.0370787	-0.016161	
0.278667	-0.0201859	-0.0243634	
0.279333	0.0849517	-0.0301265	
0.280000	-0.032139	-0.0377191	
0.280667	-0.0423539	-0.0429333	
0.281333	-0.0626313	-0.0473546	
0.282000	-0.0051837	-0.0482084	
0.282667	0.0533616	-0.050099	
0.283333	-0.0958375	-0.0517151	
